method,dataset,seed,noise_rate,pretrain_fraction,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,test_error,test_inappropriate_risk,pac_bayes_bound,pac_bayes_empirical_risk,pac_bayes_mc_upper,pac_bayes_kl,runtime_sec,stop_reached,train_calls,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine,mean_support_redundancy,max_support_redundancy,mean_selected_residual_novelty,local_redundancy_hit_rate,residual_redundancy_hit_rate,strong_redundancy_hit_rate,mode_entropy,minority_mode_fraction,spectral_entropy,dynamic_mu
Marginal,mnist,2,0.3,0.4,3000,2000,800,798,1598,0.5655355789931491,0.26470000000000005,0.2647,,,,,46.47117397841066,0,797,0.3025,0.0,0.5650187730789185,0.5650187730789185,0.9976759552955627,0.006010818271577191,0.9974968710888611,0.9987484355444305,0.9974968710888611,0.0,0.0,0.15876487571523168,1.4206175621423842
PU-R,mnist,2,0.3,0.4,3000,2000,800,697,1497,0.531877547618933,0.2047,0.2047,,,,,93.17888225708157,0,797,0.32125,0.0,0.5592550039291382,0.5592550039291382,0.9956966638565063,0.007253601140015116,0.9987484355444305,0.9987484355444305,0.9987484355444305,0.0,0.0,0.16185524528161585,1.419072377359192
GREATS,mnist,2,0.3,0.4,3000,2000,800,710,1510,,0.37239999999999995,0.3724,,,,,53.43153350520879,0,797,0.42125,0.0,0.5731285214424133,0.5731285214424133,0.9902129173278809,0.007891683494240903,0.9974968710888611,0.9987484355444305,0.9974968710888611,0.0,0.0,0.16251944842881194,1.418740275785594
MaxLoss,mnist,2,0.3,0.5,2500,2500,800,479,1279,0.5473831043345854,0.3518,0.3518,,,,,45.23936160188168,0,797,0.42375,0.0,0.5694941282272339,0.5694941282272339,0.9936646223068237,0.006928057105598671,0.9987484355444305,0.9987484355444305,0.9987484355444305,0.0,0.0,0.15856850841949663,1.4207157457902517
Marginal,mnist,2,0.3,0.5,2500,2500,800,593,1393,0.5928354550851509,0.2592,0.2592,,,,,46.288399568758905,0,797,0.30125,0.0,0.5748615264892578,0.5748615264892578,0.9986737966537476,0.006145494122381464,0.9987484355444305,0.9987484355444305,0.9987484355444305,0.0,0.0,0.1563917131489612,1.4218041434255193
PU-R,mnist,2,0.3,0.5,2500,2500,800,498,1298,0.5549796540290117,0.20179999999999998,0.2018,,,,,92.78264503926039,0,797,0.315,0.0,0.5568075180053711,0.5568075180053711,0.9965856075286865,0.007213232468508268,0.9987484355444305,0.9987484355444305,0.9987484355444305,0.0,0.0,0.1611799155078615,1.4194100422460694
GREATS,mnist,2,0.3,0.5,2500,2500,800,448,1248,,0.35919999999999996,0.3592,,,,,52.073873673565686,0,797,0.42875,0.0,0.580794632434845,0.580794632434845,0.9906524419784546,0.007375192567379737,0.9987484355444305,0.9987484355444305,0.9987484355444305,0.0,0.0,0.1588859902065477,1.4205570048967262
MaxLoss,mnist,2,0.3,0.6,2000,3000,800,238,1038,0.5586577708600089,0.3792,0.3792,,,,,44.65918952319771,0,797,0.4175,0.0,0.5658526420593262,0.5658526420593262,0.9948922395706177,0.006697449551077002,0.9987484355444305,0.9987484355444305,0.9987484355444305,0.0,0.0,0.15556199382993344,1.4222190030850332
Marginal,mnist,2,0.3,0.6,2000,3000,800,386,1186,0.6321007911465131,0.23340000000000005,0.2334,,,,,45.601341953501105,0,797,0.3025,0.0,0.56609708070755,0.56609708070755,0.9980367422103882,0.006523199463950864,0.9974968710888611,0.9987484355444305,0.9974968710888611,0.0,0.0,0.15976983358562644,1.4201150832071867
PU-R,mnist,2,0.3,0.6,2000,3000,800,413,1213,0.6453996572527103,0.23199999999999998,0.232,,,,,90.92272941023111,0,797,0.3075,0.0,0.5580215454101562,0.5580215454101562,0.9975796937942505,0.007238696144892454,0.9987484355444305,0.9987484355444305,0.9987484355444305,0.0,0.0,0.1598185138870611,1.4200907430564693
