method,seed,noise_rate,pretrain_fraction,es_budget,step,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,test_error,runtime_sec,stop_reached,hit_limit,train_calls,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine
PU-G,0,0.1,0.0,50,50,3000,0,54,239,293,0.11662641586735845,0.06130000000000002,0.4145322499680333,0,0,51,0.18518518518518517,0.24074074074074073,0.7266073822975159
PU-G,0,0.1,0.0,100,100,3000,0,104,279,383,0.14903509989380836,0.07269999999999999,0.7873814589693211,0,0,101,0.17307692307692307,0.22115384615384615,0.7397179007530212
PU-G,0,0.1,0.0,200,200,3000,0,204,30,234,0.09510343405418098,0.013499999999999956,1.6542978339712135,0,1,201,0.12254901960784313,0.17647058823529413,0.7406606078147888
MaxLoss,0,0.2,0.0,50,50,3000,0,54,879,933,0.3410818142583594,0.2539,0.14385645894799381,0,0,51,0.2777777777777778,0.2777777777777778,0.8053064942359924
MaxLoss,0,0.2,0.0,100,100,3000,0,104,506,610,0.22927471931325272,0.11980000000000002,0.26444099994841963,0,0,101,0.3076923076923077,0.46153846153846156,0.7836273312568665
MaxLoss,0,0.2,0.0,200,200,3000,0,204,275,479,0.18318789481418207,0.08399999999999996,0.5129960419726558,0,1,201,0.2696078431372549,0.4019607843137255,0.6689050197601318
PU-C,0,0.2,0.0,50,50,3000,0,54,579,633,0.23731507768388838,0.1723,0.932451874949038,0,0,51,0.2037037037037037,0.24074074074074073,0.7126923203468323
PU-C,0,0.2,0.0,100,100,3000,0,104,486,590,0.22227153496351093,0.14700000000000002,1.1724502089782618,0,0,101,0.25,0.34615384615384615,0.7104928493499756
PU-C,0,0.2,0.0,200,200,3000,0,204,143,347,0.13612384552834556,0.041100000000000025,1.6735769999795593,0,1,201,0.24509803921568626,0.39705882352941174,0.5263712406158447
PU-F,0,0.2,0.0,50,50,3000,0,54,290,344,0.13504496222594753,0.06389999999999996,0.5092567920219153,0,0,51,0.25925925925925924,0.25925925925925924,0.7787084579467773
PU-F,0,0.2,0.0,100,100,3000,0,104,340,444,0.17077872878871858,0.07720000000000005,1.1243767919950187,0,0,101,0.25961538461538464,0.27884615384615385,0.7627308964729309
PU-F,0,0.2,0.0,200,200,3000,0,204,175,379,0.14760361140361056,0.049000000000000044,2.223903624981176,0,1,201,0.22549019607843138,0.3382352941176471,0.5293529629707336
PU-G,0,0.2,0.0,50,50,3000,0,54,274,328,0.12928274739533663,0.062100000000000044,0.42043212498538196,0,0,51,0.2037037037037037,0.2777777777777778,0.7884128093719482
PU-G,0,0.2,0.0,100,100,3000,0,104,312,416,0.1608174790162593,0.07289999999999996,0.9655224159942009,0,0,101,0.16346153846153846,0.34615384615384615,0.8145743608474731
PU-G,0,0.2,0.0,200,200,3000,0,204,76,280,0.11190583789721131,0.017299999999999982,1.9759034580201842,0,1,201,0.1715686274509804,0.3382352941176471,0.7254833579063416
MaxLoss,0,0.3,0.0,50,50,3000,0,54,489,543,0.2057693019742146,0.12880000000000003,0.163089084031526,0,0,51,0.3888888888888889,0.4074074074074074,0.7374058365821838
MaxLoss,0,0.3,0.0,100,100,3000,0,104,419,523,0.19872692442731932,0.11280000000000001,0.2655727920355275,0,0,101,0.33653846153846156,0.3942307692307692,0.7115463018417358
MaxLoss,0,0.3,0.0,200,200,3000,0,204,173,377,0.14688758662668988,0.05130000000000001,0.4254814999876544,0,1,201,0.3284313725490196,0.4215686274509804,0.5069332718849182
