method,seed,noise_rate,pretrain_fraction,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,test_error,runtime_sec,stop_reached,train_calls
PU-F,1,0.0,0.6,1200,1800,22,0,22,0.03255960560636595,0.008900000000000019,0.18055537500185892,1,19
PU-G,1,0.0,0.6,1200,1800,22,0,22,0.03255960560636595,0.008600000000000052,0.1815055829938501,1,19
GREATS,1,0.0,0.6,1200,1800,26,0,26,,0.0046000000000000485,0.18724220799049363,1,23
MaxLoss,1,0.0,0.7,900,2100,16,0,16,0.034303702879697084,0.006199999999999983,0.19117666699457914,1,13
PU-C,1,0.0,0.7,900,2100,18,0,18,0.03734689118573442,0.010299999999999976,0.1968145000282675,1,15
PU-F,1,0.0,0.7,900,2100,16,0,16,0.034303702879697084,0.007199999999999984,0.19613454199861735,1,13
PU-G,1,0.0,0.7,900,2100,21,0,21,0.041832362359855324,0.005800000000000027,0.2024957500398159,1,18
GREATS,1,0.0,0.7,900,2100,14,0,14,,0.006800000000000028,0.19348470802651718,1,11
MaxLoss,1,0.0,0.8,600,2400,10,0,10,0.037101879774127156,0.0043999999999999595,0.21005437499843538,1,7
PU-C,1,0.0,0.8,600,2400,15,0,15,0.04894368466921151,0.008399999999999963,0.21588874998269603,1,12
PU-F,1,0.0,0.8,600,2400,8,0,8,0.03213391738245264,0.0027000000000000357,0.2482239580131136,1,5
PU-G,1,0.0,0.8,600,2400,13,0,13,0.044287452939897776,0.0049000000000000155,0.21386745799100026,1,10
GREATS,1,0.0,0.8,600,2400,9,0,9,,0.00649999999999995,0.21077129198238254,1,6
MaxLoss,1,0.4,0.0,3000,0,508,0,508,0.19343678752193227,0.012499999999999956,0.8061815420514904,1,505
PU-C,1,0.4,0.0,3000,0,530,0,530,0.2011931817396544,0.00990000000000002,3.2173581249662675,1,527
PU-F,1,0.4,0.0,3000,0,577,0,577,0.21771349920891225,0.024499999999999966,6.843819666013587,1,574
PU-G,1,0.4,0.0,3000,0,600,34,634,0.2376643437310122,0.04190000000000005,7.107623166986741,0,597
GREATS,1,0.4,0.0,3000,0,557,0,557,,0.01649999999999996,3.5140301670180634,1,554
MaxLoss,1,0.4,0.1,2700,300,499,0,499,0.21107996569480747,0.011700000000000044,0.9004300000378862,1,496
PU-C,1,0.4,0.1,2700,300,575,0,575,0.24072597094345838,0.007600000000000051,3.869783667032607,1,572
PU-F,1,0.4,0.1,2700,300,538,0,538,0.22631886368617415,0.012700000000000045,5.190013125014957,1,535
PU-G,1,0.4,0.1,2700,300,595,0,595,0.24849442986305803,0.010499999999999954,6.267169583996292,1,592
GREATS,1,0.4,0.1,2700,300,600,13,613,,0.03539999999999999,3.75423541595228,0,597
MaxLoss,1,0.4,0.2,2400,600,429,0,429,0.20616427244385704,0.016199999999999992,0.70361279201461,1,426
PU-C,1,0.4,0.2,2400,600,473,0,473,0.22558168601244688,0.00880000000000003,2.405929667002056,1,470
PU-F,1,0.4,0.2,2400,600,435,0,435,0.20881797990296036,0.021199999999999997,3.6268063749885187,1,432
PU-G,1,0.4,0.2,2400,600,548,0,548,0.25846835447009653,0.009800000000000031,5.787323332973756,1,545
GREATS,1,0.4,0.2,2400,600,537,0,537,,0.011800000000000033,3.314666165970266,1,534
MaxLoss,1,0.4,0.3,2100,900,434,0,434,0.23759997606975958,0.015700000000000047,0.7671264999662526,1,431
PU-C,1,0.4,0.3,2100,900,431,0,431,0.23608950397465378,0.018299999999999983,2.122425250010565,1,428
PU-F,1,0.4,0.3,2100,900,436,0,436,0.23860663844970986,0.022499999999999964,3.0097724170191213,1,433
