method,seed,noise_rate,pretrain_fraction,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,test_error,runtime_sec,stop_reached,train_calls,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine
PU-G,1,0.0,0.0,3000,0,171,0,171,0.07177707378286868,0.0031999999999999806,0.5031615840271115,1,168,0.0,0.21052631578947367,0.6130948662757874
GREATS,1,0.0,0.0,3000,0,145,0,145,,0.0043999999999999595,0.4222105420194566,1,142,0.0,0.18620689655172415,0.6601669192314148
MaxLoss,1,0.1,0.0,3000,0,205,0,205,0.08441813272656873,0.009399999999999964,0.3813157500117086,1,202,0.1951219512195122,0.3804878048780488,0.5199849605560303
PU-C,1,0.1,0.0,3000,0,206,0,206,0.08478796045528725,0.010299999999999976,0.902916582999751,1,203,0.1941747572815534,0.38349514563106796,0.5987173914909363
PU-F,1,0.1,0.0,3000,0,241,0,241,0.09767115890281275,0.007099999999999995,2.016636166954413,1,238,0.16597510373443983,0.36099585062240663,0.5064668655395508
PU-G,1,0.1,0.0,3000,0,257,0,257,0.1035250555141829,0.01859999999999995,1.1848988329875283,1,254,0.1556420233463035,0.36964980544747084,0.5343806147575378
GREATS,1,0.1,0.0,3000,0,249,0,249,,0.014399999999999968,0.8210690419655293,1,246,0.1606425702811245,0.3855421686746988,0.580026388168335
MaxLoss,1,0.2,0.0,3000,0,344,0,344,0.13504496222594753,0.013800000000000034,0.6428565000533126,1,341,0.22965116279069767,0.41569767441860467,0.4393714964389801
PU-C,1,0.2,0.0,3000,0,332,0,332,0.13072461553383619,0.012900000000000023,1.688555125030689,1,329,0.24096385542168675,0.45180722891566266,0.5175570249557495
PU-F,1,0.2,0.0,3000,0,338,0,338,0.1328857623739168,0.01539999999999997,3.468839958019089,1,335,0.23668639053254437,0.4171597633136095,0.5119510889053345
PU-G,1,0.2,0.0,3000,0,401,0,401,0.15546777396230027,0.012499999999999956,3.728108666022308,1,398,0.19451371571072318,0.3740648379052369,0.4637787342071533
GREATS,1,0.2,0.0,3000,0,392,0,392,,0.007000000000000006,1.6902827500016429,1,389,0.20408163265306123,0.3877551020408163,0.40610915422439575
MaxLoss,1,0.3,0.0,3000,0,404,0,404,0.15653848770307377,0.007099999999999995,0.7513452910352498,1,401,0.297029702970297,0.4603960396039604,0.42351609468460083
PU-C,1,0.3,0.0,3000,0,375,0,375,0.14617137319874018,0.015499999999999958,1.8890851669711992,1,372,0.30666666666666664,0.4666666666666667,0.5798054933547974
PU-F,1,0.3,0.0,3000,0,438,0,438,0.16864680708386004,0.014599999999999946,4.697722582961433,1,435,0.2694063926940639,0.4497716894977169,0.40330225229263306
PU-G,1,0.3,0.0,3000,0,479,0,479,0.18318789481418207,0.0252,4.69434845802607,1,476,0.25052192066805845,0.4488517745302714,0.4223499894142151
GREATS,1,0.3,0.0,3000,0,487,0,487,,0.0050000000000000044,2.619095916976221,1,484,0.2464065708418891,0.43737166324435317,0.39591097831726074
MaxLoss,1,0.4,0.0,3000,0,508,0,508,0.19343678752193227,0.012499999999999956,0.9585986660094932,1,505,0.3031496062992126,0.44291338582677164,0.4003150761127472
PU-C,1,0.4,0.0,3000,0,530,0,530,0.2011931817396544,0.00990000000000002,3.0837574590113945,1,527,0.28867924528301886,0.44150943396226416,0.4683622419834137
PU-F,1,0.4,0.0,3000,0,577,0,577,0.21771349920891225,0.024499999999999966,6.567506541963667,1,574,0.2772963604852686,0.42114384748700173,0.8533671498298645
PU-G,1,0.4,0.0,3000,0,608,0,608,0.22857489221496508,0.016000000000000014,7.023439958982635,1,605,0.2631578947368421,0.40460526315789475,0.386215478181839
GREATS,1,0.4,0.0,3000,0,557,0,557,,0.01649999999999996,3.3664969590026885,1,554,0.2872531418312388,0.4254937163375224,0.4533787667751312
MaxLoss,2,0.0,0.0,3000,0,120,0,120,0.05250743729993701,0.01529999999999998,0.2840591659769416,1,117,0.0,0.08333333333333333,0.8049110770225525
PU-C,2,0.0,0.0,3000,0,116,0,116,0.050975687336176634,0.01629999999999998,0.20033166598295793,1,113,0.0,0.10344827586206896,0.8112581968307495
PU-F,2,0.0,0.0,3000,0,123,0,123,0.053653962444514036,0.0131,0.3213482499704696,1,120,0.0,0.08130081300813008,0.826909065246582
PU-G,2,0.0,0.0,3000,0,108,0,108,0.04790108359884471,0.00770000000000004,0.31840887502767146,1,105,0.0,0.1111111111111111,0.7427894473075867
GREATS,2,0.0,0.0,3000,0,107,0,107,,0.0046000000000000485,0.4177882919902913,1,104,0.0,0.1588785046728972,0.683379590511322
