method,seed,noise_rate,pretrain_fraction,es_budget,step,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,test_error,runtime_sec,stop_reached,hit_limit,train_calls,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine
MaxLoss,0,0.0,0.7,100,5,900,2100,9,0,9,0.023171695414930582,0.0039000000000000146,0.19407929200679064,1,0,6,0.0,0.1111111111111111,0.6730473041534424
MaxLoss,0,0.0,0.7,200,5,900,2100,9,0,9,0.023171695414930582,0.0039000000000000146,0.19771387503715232,1,0,6,0.0,0.1111111111111111,0.6730473041534424
PU-C,0,0.0,0.7,50,7,900,2100,11,0,11,0.02644878235878423,0.0040999999999999925,0.19243258400820196,1,0,8,0.0,0.09090909090909091,0.7180951833724976
PU-C,0,0.0,0.7,100,7,900,2100,11,0,11,0.02644878235878423,0.0040999999999999925,0.19450612500077114,1,0,8,0.0,0.09090909090909091,0.7180951833724976
PU-C,0,0.0,0.7,200,7,900,2100,11,0,11,0.02644878235878423,0.0040999999999999925,0.19658395904116333,1,0,8,0.0,0.09090909090909091,0.7180951833724976
PU-F,0,0.0,0.7,50,9,900,2100,13,0,13,0.029640178836416453,0.00649999999999995,0.1849849580321461,1,0,10,0.0,0.07692307692307693,0.7590944170951843
PU-F,0,0.0,0.7,100,9,900,2100,13,0,13,0.029640178836416453,0.00649999999999995,0.18702341604512185,1,0,10,0.0,0.07692307692307693,0.7590944170951843
PU-F,0,0.0,0.7,200,9,900,2100,13,0,13,0.029640178836416453,0.00649999999999995,0.18888200004585087,1,0,10,0.0,0.07692307692307693,0.7590944170951843
PU-G,0,0.0,0.7,50,6,900,2100,10,0,10,0.024822357401717454,0.0016000000000000458,0.18261437502223998,1,0,7,0.0,0.1,0.6482167840003967
PU-G,0,0.0,0.7,100,6,900,2100,10,0,10,0.024822357401717454,0.0016000000000000458,0.18475333403330296,1,0,7,0.0,0.1,0.6482167840003967
PU-G,0,0.0,0.7,200,6,900,2100,10,0,10,0.024822357401717454,0.0016000000000000458,0.18697166704805568,1,0,7,0.0,0.1,0.6482167840003967
MaxLoss,0,0.0,0.8,50,0,600,2400,4,0,4,0.021501237817574292,0.005600000000000049,0.1965787920053117,1,0,1,0.0,0.0,0.33313217759132385
MaxLoss,0,0.0,0.8,100,0,600,2400,4,0,4,0.021501237817574292,0.005600000000000049,0.19871879200218245,1,0,1,0.0,0.0,0.33313217759132385
MaxLoss,0,0.0,0.8,200,0,600,2400,4,0,4,0.021501237817574292,0.005600000000000049,0.20067891699727625,1,0,1,0.0,0.0,0.33313217759132385
PU-C,0,0.0,0.8,50,2,600,2400,6,0,6,0.026965588273014873,0.0016000000000000458,0.1975623750477098,1,0,3,0.0,0.0,0.5292083024978638
