method,seed,noise_rate,pretrain_fraction,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,test_error,runtime_sec,stop_reached,train_calls,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine
PU-C,0,0.0,0.7,900,2100,11,0,11,0.02644878235878423,0.0040999999999999925,0.18697066704044119,1,8,0.0,0.09090909090909091,0.7180951833724976
PU-F,0,0.0,0.7,900,2100,13,0,13,0.029640178836416453,0.00649999999999995,0.18884258304024115,1,10,0.0,0.07692307692307693,0.7590944170951843
PU-G,0,0.0,0.7,900,2100,10,0,10,0.024822357401717454,0.0016000000000000458,0.18570420902688056,1,7,0.0,0.1,0.6482167840003967
MaxLoss,0,0.0,0.8,600,2400,4,0,4,0.021501237817574292,0.005600000000000049,0.20025187503779307,1,1,0.0,0.0,0.33313217759132385
PU-C,0,0.0,0.8,600,2400,6,0,6,0.026965588273014873,0.0016000000000000458,0.20557941700099036,1,3,0.0,0.0,0.5292083024978638
PU-F,0,0.0,0.8,600,2400,5,0,5,0.024279373232275248,0.0044999999999999485,0.20024745899718255,1,2,0.0,0.0,0.3962211012840271
PU-G,0,0.0,0.8,600,2400,6,0,6,0.026965588273014873,0.0023999999999999577,0.2004247079603374,1,3,0.0,0.0,0.530048131942749
MaxLoss,0,0.4,0.0,3000,0,451,0,451,0.17326421377947554,0.023399999999999976,0.7074164579971693,1,448,0.3259423503325942,0.4789356984478936,0.5715302228927612
PU-C,0,0.4,0.0,3000,0,430,0,430,0.16580204077763483,0.008299999999999974,2.449393584043719,1,427,0.3558139534883721,0.5046511627906977,0.5351815819740295
PU-F,0,0.4,0.0,3000,0,446,0,446,0.17148905905196443,0.025000000000000022,4.3983476249850355,1,443,0.31614349775784756,0.452914798206278,0.6466699242591858
PU-G,0,0.4,0.0,3000,0,495,0,495,0.18884600239107385,0.026699999999999946,4.922753499995451,1,492,0.2868686868686869,0.43636363636363634,0.6268119215965271
