method,dataset,seed,noise_rate,pretrain_fraction,pretrain_training_mode,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,test_error,test_inappropriate_risk,pac_bayes_bound,pac_bayes_empirical_risk,pac_bayes_mc_upper,pac_bayes_kl,runtime_sec,stop_reached,train_calls,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine,mean_support_redundancy,max_support_redundancy,mean_selected_residual_novelty,local_redundancy_hit_rate,residual_redundancy_hit_rate,strong_redundancy_hit_rate,mode_entropy,minority_mode_fraction,spectral_entropy,dynamic_mu
MaxLoss,mnist,1,0.3,0.7,support,1500,3500,684,0,684,0.5010504933889024,0.2713,0.2713,,,,,37.70027290505823,1,681,0.47953216374269003,0.0,0.619572103023529,0.619572103023529,0.985950231552124,0.012680743255081148,0.9970717423133236,0.9985358711566618,0.9970717423133236,0.0,0.0,0.17597229796866068,1.4120138510156697
Marginal,mnist,1,0.3,0.7,support,1500,3500,800,122,922,0.6588559392257594,0.2724,0.2724,,,,,53.23499485000502,0,797,0.37625,0.0,0.5964545011520386,0.5964545011520386,0.9893674850463867,0.009397709091777945,0.9974968710888611,0.9987484355444305,0.9974968710888611,0.0,0.0,0.1704809245917791,1.4147595377041104
PU-R,mnist,1,0.3,0.7,support,1500,3500,730,0,730,0.531916388310492,0.2783,0.2783,,,,,78.95826746302191,1,727,0.4589041095890411,0.0,0.6170350909233093,0.6170350909233093,0.9866769313812256,0.012182347312957989,0.9986282578875172,0.9972565157750343,0.9972565157750343,0.0,0.0,0.17528751994377098,1.4123562400281144
GREATS,mnist,1,0.3,0.7,support,1500,3500,800,122,922,,0.26280000000000003,0.2628,,,,,56.814537554979324,0,797,0.37625,0.0,0.591515839099884,0.591515839099884,0.986123263835907,0.010118398887661282,0.9987484355444305,0.9987484355444305,0.9987484355444305,0.0,0.0,0.17240719300865,1.413796403495675
MaxLoss,mnist,1,0.3,0.8,support,1000,4000,470,0,470,0.5244615492410958,0.25549999999999995,0.2555,,,,,17.299511990044266,1,467,0.5170212765957447,0.0,0.7009386420249939,0.7009386420249939,0.9765475988388062,0.026720151495831863,0.9850746268656716,0.9786780383795309,0.9701492537313433,0.0,0.0,0.20278778295813724,1.3986061085209314
Marginal,mnist,1,0.3,0.8,support,1000,4000,677,0,677,0.7279711890150793,0.27180000000000004,0.2718,,,,,38.276526223053224,1,674,0.397341211225997,0.0,0.6139390468597412,0.6139390468597412,0.9885339736938477,0.013194662700655193,0.992603550295858,0.9955621301775148,0.9911242603550295,0.0,0.0,0.180241541652804,1.409879229173598
PU-R,mnist,1,0.3,0.8,support,1000,4000,471,0,471,0.5254683009698056,0.256,0.256,,,,,28.492769805015996,1,468,0.4989384288747346,0.0,0.6969813108444214,0.6969813108444214,0.9765207767486572,0.026076968481883088,0.9914893617021276,0.9787234042553191,0.9787234042553191,0.0,0.0,0.2003737046714627,1.3998131476642688
GREATS,mnist,1,0.3,0.8,support,1000,4000,668,0,668,,0.26559999999999995,0.2656,,,,,39.053519509965554,1,665,0.39520958083832336,0.0,0.6184507608413696,0.6184507608413696,0.9844692945480347,0.013789626701303508,0.9970014992503748,0.9970014992503748,0.9955022488755623,0.0,0.0,0.18036281635337337,1.4098185918233133
MaxLoss,mnist,2,0.3,0.0,support,5000,0,800,1680,2480,0.5219409927376546,0.4115,0.4115,,,,,47.2384267920861,0,797,0.44125,0.0,0.5643719434738159,0.5643719434738159,0.9892679452896118,0.008130173837633172,0.9974968710888611,0.9987484355444305,0.9974968710888611,0.0,0.0,0.16548290814758376,1.4172585459262081
Marginal,mnist,2,0.3,0.0,support,5000,0,800,1563,2363,0.4984588603838347,0.1976,0.1976,,,,,49.3441046559019,0,797,0.27875,0.0,0.5686169862747192,0.5686169862747192,0.9988057613372803,0.006022787148200526,0.9987484355444305,0.9987484355444305,0.9987484355444305,0.0,0.0,0.15996184433833832,1.4200190778308308
